timestamp_utc,role,pid,cpu_seconds,working_set_mb,thread_count,handle_count
2026-08-23T19:40:11.4603104Z,api-operator-5009,124116,6.546875,152.68,30,689
2026-08-23T19:40:11.4603104Z,api-visitor-5010,93796,8.921875,171.96,29,771
2026-08-23T19:40:11.4603104Z,worker,123952,9.46875,164.83,37,768
2026-08-23T19:40:16.5542423Z,api-operator-5009,124116,6.546875,152.65,29,686
2026-08-23T19:40:16.5542423Z,api-visitor-5010,93796,8.921875,171.96,29,771
2026-08-23T19:40:16.5542423Z,worker,123952,9.46875,164.66,35,762
2026-08-23T19:40:21.5786063Z,api-operator-5009,124116,7.046875,160.86,32,700
2026-08-23T19:40:21.5786063Z,api-visitor-5010,93796,9.453125,184.44,48,883
2026-08-23T19:40:21.5786063Z,worker,123952,9.53125,165.95,38,775
2026-08-23T19:40:26.6056845Z,api-operator-5009,124116,7.0625,155,31,697
2026-08-23T19:40:26.6056845Z,api-visitor-5010,93796,9.46875,185.11,48,886
2026-08-23T19:40:26.6056845Z,worker,123952,9.546875,165.93,37,772
2026-08-23T19:40:31.6284692Z,api-operator-5009,124116,7.21875,159.5,32,700
2026-08-23T19:40:31.6284692Z,api-visitor-5010,93796,9.84375,183.5,47,883
2026-08-23T19:40:31.6284692Z,worker,123952,9.671875,170.5,37,772
2026-08-23T19:40:36.6552697Z,api-operator-5009,124116,7.25,155.91,32,700
2026-08-23T19:40:36.6552697Z,api-visitor-5010,93796,9.921875,185.64,48,824
2026-08-23T19:40:36.6552697Z,worker,123952,9.75,170.35,39,780
2026-08-23T19:40:41.6846833Z,api-operator-5009,124116,7.28125,154.65,32,700
2026-08-23T19:40:41.6846833Z,api-visitor-5010,93796,9.96875,185.76,47,822
2026-08-23T19:40:41.6846833Z,worker,123952,9.78125,172.22,39,781
2026-08-23T19:40:46.7090704Z,api-operator-5009,124116,7.28125,154.82,32,700
2026-08-23T19:40:46.7090704Z,api-visitor-5010,93796,10.0625,189.67,48,830
2026-08-23T19:40:46.7090704Z,worker,123952,9.84375,181.39,39,781
2026-08-23T19:40:51.7342727Z,api-operator-5009,124116,7.28125,155.92,32,700
2026-08-23T19:40:51.7342727Z,api-visitor-5010,93796,10.0625,182.64,47,827
2026-08-23T19:40:51.7342727Z,worker,123952,9.859375,181.35,39,685
2026-08-23T19:40:56.7682056Z,api-operator-5009,124116,7.296875,155.93,32,700
2026-08-23T19:40:56.7682056Z,api-visitor-5010,93796,10.078125,182.98,48,833
2026-08-23T19:40:56.7682056Z,worker,123952,9.890625,181.6,38,683
2026-08-23T19:41:01.7957994Z,api-operator-5009,124116,7.3125,154.75,32,700
2026-08-23T19:41:01.7957994Z,api-visitor-5010,93796,10.109375,184.18,48,833
2026-08-23T19:41:01.7957994Z,worker,123952,9.90625,181.6,39,688
2026-08-23T19:41:06.8169747Z,api-operator-5009,124116,7.5625,161.91,35,713
2026-08-23T19:41:06.8169747Z,api-visitor-5010,93796,10.25,186.3,49,842
2026-08-23T19:41:06.8169747Z,worker,123952,9.9375,181.77,33,676
2026-08-23T19:41:11.8375942Z,api-operator-5009,124116,7.5625,161.89,35,713
2026-08-23T19:41:11.8375942Z,api-visitor-5010,93796,10.25,186.27,48,839
2026-08-23T19:41:11.8375942Z,worker,123952,9.984375,181.72,32,673
2026-08-23T19:41:16.8682125Z,api-operator-5009,124116,7.828125,161.84,37,720
2026-08-23T19:41:16.8682125Z,api-visitor-5010,93796,10.328125,184.98,49,848
2026-08-23T19:41:16.8682125Z,worker,123952,10.0625,182.02,37,687
2026-08-23T19:41:21.8943271Z,api-operator-5009,124116,8.984375,173.43,37,720
2026-08-23T19:41:21.8943271Z,api-visitor-5010,93796,11.671875,191.68,63,966
2026-08-23T19:41:21.8943271Z,worker,123952,10.078125,181.95,36,685
2026-08-23T19:41:26.9244428Z,api-operator-5009,124116,9.015625,163.64,37,720
2026-08-23T19:41:26.9244428Z,api-visitor-5010,93796,11.765625,191.99,63,969
2026-08-23T19:41:26.9244428Z,worker,123952,10.171875,181.93,35,682
2026-08-23T19:41:31.9481176Z,api-operator-5009,124116,9.03125,164.73,37,720
2026-08-23T19:41:31.9481176Z,api-visitor-5010,93796,11.765625,188.7,63,969
2026-08-23T19:41:31.9481176Z,worker,123952,10.171875,181.93,35,682
2026-08-23T19:41:36.9831697Z,api-operator-5009,124116,9.03125,164.74,37,720
2026-08-23T19:41:36.9831697Z,api-visitor-5010,93796,11.828125,190.23,62,969
2026-08-23T19:41:36.9831697Z,worker,123952,10.25,181.93,36,684
2026-08-23T19:41:41.9987725Z,api-operator-5009,124116,9.03125,164.48,37,720
2026-08-23T19:41:41.9987725Z,api-visitor-5010,93796,11.875,191.45,51,938
